Year,Item_Key,Item_Name,World_Production_Tonnes,Climate_Sensitivity,Temp_Anomaly_C,YoY_Change_Pct
2000.0,tomatoes,토마토 (케찹),56700774.3,중간 (관개 시설 의존),0.4145357142857144,
2001.0,tomatoes,토마토 (케찹),55031635.14,중간 (관개 시설 의존),0.5200714285714286,-2.9437678419851787
2002.0,tomatoes,토마토 (케찹),60609844.09,중간 (관개 시설 의존),0.5474642857142856,10.136367810640357
2003.0,tomatoes,토마토 (케찹),61674945.879999995,중간 (관개 시설 의존),0.5516428571428571,1.7573082491656233
2004.0,tomatoes,토마토 (케찹),67581128.9,중간 (관개 시설 의존),0.5153214285714285,9.576308395132727
2005.0,tomatoes,토마토 (케찹),67149153.24,중간 (관개 시설 의존),0.5318571428571429,-0.6391956852913827
2006.0,tomatoes,토마토 (케찹),69524168.39,중간 (관개 시설 의존),0.5726071428571429,3.5369249430612815
2007.0,tomatoes,토마토 (케찹),75506256.89,중간 (관개 시설 의존),0.5615357142857142,8.604329456259174
2008.0,tomatoes,토마토 (케찹),79123391.35,중간 (관개 시설 의존),0.4383928571428571,4.790509567001244
2009.0,tomatoes,토마토 (케찹),89128521.78,중간 (관개 시설 의존),0.6052142857142858,12.644971681942451
2010.0,tomatoes,토마토 (케찹),87932077.0,중간 (관개 시설 의존),0.6619285714285715,-1.3423814914750198
2011.0,tomatoes,토마토 (케찹),93666399.0,중간 (관개 시설 의존),0.5001428571428572,6.521308486776678
2012.0,tomatoes,토마토 (케찹),95517886.9,중간 (관개 시설 의존),0.5518928571428571,1.9766831219806047
2013.0,tomatoes,토마토 (케찹),96361516.0,중간 (관개 시설 의존),0.5512142857142858,0.8832158325311479
2014.0,tomatoes,토마토 (케찹),101135339.07,중간 (관개 시설 의존),0.5937857142857143,4.954076345166669
2015.0,tomatoes,토마토 (케찹),100703845.28,중간 (관개 시설 의존),0.7192857142857143,-0.42664986736370425
2016.0,tomatoes,토마토 (케찹),102799443.46000001,중간 (관개 시설 의존),0.8813928571428571,2.0809515010805635
2017.0,tomatoes,토마토 (케찹),103811617.87,중간 (관개 시설 의존),0.7801071428571428,0.9846107876973376
2018.0,tomatoes,토마토 (케찹),105975398.81,중간 (관개 시설 의존),0.7523571428571427,2.0843340893787365
2019.0,tomatoes,토마토 (케찹),105432393.59,중간 (관개 시설 의존),0.7682857142857141,-0.5123879939093579
2020.0,tomatoes,토마토 (케찹),105294545.55,중간 (관개 시설 의존),0.8126071428571428,-0.13074543345383827
2021.0,tomatoes,토마토 (케찹),106344103.72,중간 (관개 시설 의존),0.7775714285714285,0.9967830380174902
2022.0,tomatoes,토마토 (케찹),105332458.68,중간 (관개 시설 의존),0.8031071428571428,-0.9512939642273066
2023.0,tomatoes,토마토 (케찹),107454727.05,중간 (관개 시설 의존),0.9676785714285715,2.0148284741434264
2024.0,tomatoes,토마토 (케찹),107250962.42,중간 (관개 시설 의존),1.1169285714285715,-0.18962835381377552
2000.0,eggs,계란 (마요네즈),639800982.6700001,간접적 (사료 작물 영향),0.4145357142857144,
2001.0,eggs,계란 (마요네즈),651076663.48,간접적 (사료 작물 영향),0.5200714285714286,1.762373162189368
2002.0,eggs,계란 (마요네즈),664605798.29,간접적 (사료 작물 영향),0.5474642857142856,2.0779634056743435
2003.0,eggs,계란 (마요네즈),676429822.0,간접적 (사료 작물 영향),0.5516428571428571,1.7791033031042902
2004.0,eggs,계란 (마요네즈),692740252.0,간접적 (사료 작물 영향),0.5153214285714285,2.4112523530933183
2005.0,eggs,계란 (마요네즈),708272380.49,간접적 (사료 작물 영향),0.5318571428571429,2.242128769788887
2006.0,eggs,계란 (마요네즈),719758303.0,간접적 (사료 작물 영향),0.5726071428571429,1.6216815488490077
2007.0,eggs,계란 (마요네즈),742875647.0,간접적 (사료 작물 영향),0.5615357142857142,3.2118203991041705
2008.0,eggs,계란 (마요네즈),775999097.0,간접적 (사료 작물 영향),0.4383928571428571,4.458814895031815
2009.0,eggs,계란 (마요네즈),788826313.27,간접적 (사료 작물 영향),0.6052142857142858,1.6529937108934467
2010.0,eggs,계란 (마요네즈),797869564.0,간접적 (사료 작물 영향),0.6619285714285715,1.1464184926225585
2011.0,eggs,계란 (마요네즈),811821239.0,간접적 (사료 작물 영향),0.5001428571428572,1.7486160181440447
2012.0,eggs,계란 (마요네즈),824918193.0,간접적 (사료 작물 영향),0.5518928571428571,1.613280531577721
2013.0,eggs,계란 (마요네즈),840721394.0,간접적 (사료 작물 영향),0.5512142857142858,1.915729478886652
2014.0,eggs,계란 (마요네즈),812323186.3399999,간접적 (사료 작물 영향),0.5937857142857143,-3.377838111730047
2015.0,eggs,계란 (마요네즈),822492781.94,간접적 (사료 작물 영향),0.7192857142857143,1.2519149731303747
2016.0,eggs,계란 (마요네즈),836748952.8000001,간접적 (사료 작물 영향),0.8813928571428571,1.7332882638038782
2017.0,eggs,계란 (마요네즈),933901975.25,간접적 (사료 작물 영향),0.7801071428571428,11.610773114791284
2018.0,eggs,계란 (마요네즈),956357297.5199999,간접적 (사료 작물 영향),0.7523571428571427,2.404462445214195
2019.0,eggs,계란 (마요네즈),1009882577.4499999,간접적 (사료 작물 영향),0.7682857142857141,5.596786898453154
2020.0,eggs,계란 (마요네즈),1048969114.7499999,간접적 (사료 작물 영향),0.8126071428571428,3.870404161114971
2021.0,eggs,계란 (마요네즈),1046323207.3500001,간접적 (사료 작물 영향),0.7775714285714285,-0.2522388278925036
2022.0,eggs,계란 (마요네즈),1063955517.95,간접적 (사료 작물 영향),0.8031071428571428,1.6851686435070956
2023.0,eggs,계란 (마요네즈),1087747510.03,간접적 (사료 작물 영향),0.9676785714285715,2.236182968047551
2024.0,eggs,계란 (마요네즈),1104405717.47,간접적 (사료 작물 영향),1.1169285714285715,1.5314406409940418
2000.0,chillies_dry,건고추 (스리라차),1705280.65,"매우 높음 (가뭄, 폭염에 취약)",0.4145357142857144,
2001.0,chillies_dry,건고추 (스리라차),1712334.6,"매우 높음 (가뭄, 폭염에 취약)",0.5200714285714286,0.41365331859011256
2002.0,chillies_dry,건고추 (스리라차),1550186.94,"매우 높음 (가뭄, 폭염에 취약)",0.5474642857142856,-9.469391087466207
2003.0,chillies_dry,건고추 (스리라차),1901563.0,"매우 높음 (가뭄, 폭염에 취약)",0.5516428571428571,22.666689476818846
2004.0,chillies_dry,건고추 (스리라차),1857136.0,"매우 높음 (가뭄, 폭염에 취약)",0.5153214285714285,-2.3363412098363345
2005.0,chillies_dry,건고추 (스리라차),1773289.0,"매우 높음 (가뭄, 폭염에 취약)",0.5318571428571429,-4.5148551317728
2006.0,chillies_dry,건고추 (스리라차),1918431.0,"매우 높음 (가뭄, 폭염에 취약)",0.5726071428571429,8.184903870717065
2007.0,chillies_dry,건고추 (스리라차),2033314.0,"매우 높음 (가뭄, 폭염에 취약)",0.5615357142857142,5.9883832152420435
2008.0,chillies_dry,건고추 (스리라차),2049188.57,"매우 높음 (가뭄, 폭염에 취약)",0.4383928571428571,0.7807239806542521
2009.0,chillies_dry,건고추 (스리라차),1986044.05,"매우 높음 (가뭄, 폭염에 취약)",0.6052142857142858,-3.0814401819545534
2010.0,chillies_dry,건고추 (스리라차),1988119.08,"매우 높음 (가뭄, 폭염에 취약)",0.6619285714285715,0.10448056275489392
2011.0,chillies_dry,건고추 (스리라차),2025748.75,"매우 높음 (가뭄, 폭염에 취약)",0.5001428571428572,1.8927271700445614
2012.0,chillies_dry,건고추 (스리라차),2142781.15,"매우 높음 (가뭄, 폭염에 취약)",0.5518928571428571,5.777241624856
2013.0,chillies_dry,건고추 (스리라차),2343308.0,"매우 높음 (가뭄, 폭염에 취약)",0.5512142857142858,9.358251541460504
2014.0,chillies_dry,건고추 (스리라차),2430509.1100000003,"매우 높음 (가뭄, 폭염에 취약)",0.5937857142857143,3.7212824775915143
2015.0,chillies_dry,건고추 (스리라차),2584821.78,"매우 높음 (가뭄, 폭염에 취약)",0.7192857142857143,6.348985460087397
2016.0,chillies_dry,건고추 (스리라차),2466628.2199999997,"매우 높음 (가뭄, 폭염에 취약)",0.8813928571428571,-4.572599972443747
2017.0,chillies_dry,건고추 (스리라차),3076750.5000000005,"매우 높음 (가뭄, 폭염에 취약)",0.7801071428571428,24.735072559901262
2018.0,chillies_dry,건고추 (스리라차),3161727.7199999997,"매우 높음 (가뭄, 폭염에 취약)",0.7523571428571427,2.7619145588827942
2019.0,chillies_dry,건고추 (스리라차),2708854.83,"매우 높음 (가뭄, 폭염에 취약)",0.7682857142857141,-14.32358919255703
2020.0,chillies_dry,건고추 (스리라차),2836895.1999999997,"매우 높음 (가뭄, 폭염에 취약)",0.8126071428571428,4.72673428572028
2021.0,chillies_dry,건고추 (스리라차),3361201.5900000003,"매우 높음 (가뭄, 폭염에 취약)",0.7775714285714285,18.481697526225172
2022.0,chillies_dry,건고추 (스리라차),3103852.5300000003,"매우 높음 (가뭄, 폭염에 취약)",0.8031071428571428,-7.656460141089005
2023.0,chillies_dry,건고추 (스리라차),3873730.3400000003,"매우 높음 (가뭄, 폭염에 취약)",0.9676785714285715,24.803942924440413
2024.0,chillies_dry,건고추 (스리라차),4043319.44,"매우 높음 (가뭄, 폭염에 취약)",1.1169285714285715,4.3779273494809035
2000.0,chillies_green,풋고추,12845591.0,높음,0.4145357142857144,
2001.0,chillies_green,풋고추,13314089.0,높음,0.5200714285714286,3.6471502167553016
2002.0,chillies_green,풋고추,14010684.0,높음,0.5474642857142856,5.232013996601648
2003.0,chillies_green,풋고추,15505236.0,높음,0.5516428571428571,10.667230807575123
2004.0,chillies_green,풋고추,15639828.0,높음,0.5153214285714285,0.868042253597423
2005.0,chillies_green,풋고추,16265829.0,높음,0.5318571428571429,4.002607957069615
2006.0,chillies_green,풋고추,17044342.0,높음,0.5726071428571429,4.786187042787682
2007.0,chillies_green,풋고추,18103024.7,높음,0.5615357142857142,6.211343916943224
2008.0,chillies_green,풋고추,18421483.0,높음,0.4383928571428571,1.759144150093328
2009.0,chillies_green,풋고추,18818331.0,높음,0.6052142857142858,2.1542673844445748
2010.0,chillies_green,풋고추,19596906.0,높음,0.6619285714285715,4.137322273691546
2011.0,chillies_green,풋고추,20208139.0,높음,0.5001428571428572,3.1190280751461463
2012.0,chillies_green,풋고추,20716121.0,높음,0.5518928571428571,2.513749534284182
2013.0,chillies_green,풋고추,20853800.7,높음,0.5512142857142858,0.6646017369757562
2014.0,chillies_green,풋고추,21686421.150000002,높음,0.5937857142857143,3.992655640945131
2015.0,chillies_green,풋고추,22615140.8,높음,0.7192857142857143,4.282493840621537
2016.0,chillies_green,풋고추,22316122.91,높음,0.8813928571428571,-1.322202203578593
2017.0,chillies_green,풋고추,23715974.66,높음,0.7801071428571428,6.272826850997126
2018.0,chillies_green,풋고추,24250541.22,높음,0.7523571428571427,2.254035803561605
2019.0,chillies_green,풋고추,24055356.06,높음,0.7682857142857141,-0.8048692943769309
2020.0,chillies_green,풋고추,24515210.759999998,높음,0.8126071428571428,1.9116520198371179
2021.0,chillies_green,풋고추,24125127.410000004,높음,0.7775714285714285,-1.5911890532732786
2022.0,chillies_green,풋고추,25026499.48,높음,0.8031071428571428,3.736237552993704
2023.0,chillies_green,풋고추,25493280.16,높음,0.9676785714285715,1.8651457043484143
2024.0,chillies_green,풋고추,25107978.78,높음,1.1169285714285715,-1.5113840885981888
